model,coefficient_l2,change_l2,adjacent_cosine,unit_vector_movement,refits_with_sign_flips
ols,0.11935055542108614,0.04118495483592771,0.9386258432482559,0.3144037198652686,41
ridge,0.09764811078503632,0.03180230575919656,0.9449690361839067,0.29600439183378796,39
