model,period,ic_dates,ic_mean,ic_sd,ic_ir,ic_start,ic_end
fixed,development,5851,0.03674318073642915,0.1093446871583327,0.3360307820280695,1998-09-03,2021-12-31
ols,development,5851,0.04655574094262703,0.08344576891224373,0.5579161358269425,1998-09-03,2021-12-31
ridge,development,5851,0.047231500460223154,0.08473541676387758,0.5573997540112151,1998-09-03,2021-12-31
fixed,later,1083,0.04891166930085588,0.12421824178410115,0.39375592987274227,2022-01-03,2026-04-28
ols,later,1083,0.04122473532731696,0.10869469949212193,0.3792708891964403,2022-01-03,2026-04-28
ridge,later,1083,0.04161144480055226,0.1115952399738266,0.3728783128233046,2022-01-03,2026-04-28
