period,net_arithmetic_return_pct,net_volatility_pct,net_sharpe,net_drawdown_pct,annualized_traded_notional_from_costs,return_start,panel
development,6.791920467808155,9.110102485122194,0.746039353036475,-26.363394269925603,14.41469900839109,1998-09-09,current_20260926
development,6.811191846575223,9.111874170021578,0.7479916629593197,-26.31994806339901,14.43272913393004,1998-09-09,previous_20260905
later,7.768446312104136,11.915758293710844,0.6518289375331169,-10.012439841274789,13.051723986107746,2022-01-03,current_20260926
later,7.759939385467863,11.91693954316842,0.6510543391191642,-10.034073395593913,13.05571239444192,2022-01-03,previous_20260905
