schedule,period,daily_observations,net_arithmetic_return_pct,net_volatility_pct,net_sharpe,runtime_drawdown_pct,annualized_traded_notional_from_costs,model,gross_arithmetic_return_pct,net_geometric_return_pct,annual_cost_drag_pct,return_start,return_end,net_drawdown_pct,drawdown_definition_difference_pp,market_beta,long_pct,short_pct,gross_exposure_pct,net_exposure_pct
o0,development,5869,7.210369219271223,8.950662953275508,0.805568174883915,-22.074347406189357,14.401134953247144,fixed,7.93042596693358,7.045297065095246,0.7200567476623572,1998-09-09,2021-12-31,-22.074347406189354,3.552713678800501e-15,0.06766225385763934,90.26791627944172,46.182703497204116,136.45061977664585,44.08521278223761
o1,development,5865,6.4767186255355975,9.162528321409164,0.7068702434896814,-27.415706523657306,14.37741834579893,fixed,7.195589542825546,6.242025732452228,0.7188709172899466,1998-09-15,2021-12-31,-27.415706523657313,-7.105427357601002e-15,0.06447079845482968,90.29548812009487,46.25241226640254,136.5479003864974,44.04307585369233
o2,development,5860,6.688673558617644,9.217116180681911,0.7256796407358288,-29.60012887993014,14.465543726127192,fixed,7.4119507449240025,6.461709170870278,0.7232771863063596,1998-09-22,2021-12-31,-29.600128879930143,-3.552713678800501e-15,0.06990025012460853,90.21206215330238,46.16839032311432,136.3804524764167,44.04367183018805
o0,development,5869,7.358050520054942,7.184165335753979,1.0242039507965628,-19.10881450176872,28.860308510900214,ols,8.801065945599952,7.35654647105739,1.4430154255450107,1998-09-09,2021-12-31,-19.108814501768723,-3.552713678800501e-15,0.08201659884228245,84.32106149542524,54.26787993773915,138.5889414331644,30.05318155768609
o1,development,5865,7.861035398122651,7.496912276876026,1.0485697454897198,-18.230974601832298,28.998984620532372,ols,9.310984629149269,7.8725813692827495,1.4499492310266187,1998-09-15,2021-12-31,-18.230974601832294,3.552713678800501e-15,0.0983464323478453,84.32039562185197,54.54954706783969,138.86994268969167,29.770848554012286
o2,development,5860,6.712565521145362,7.417392889063004,0.904976400945821,-18.78293774999708,29.030998224755848,ols,8.164115432383156,6.647930972320371,1.4515499112377923,1998-09-22,2021-12-31,-18.782937749997085,-3.552713678800501e-15,0.09372304526409023,84.64628638365983,54.177789398691225,138.82407578235106,30.468496984968606
o0,development,5869,6.788189290278139,8.160437973843056,0.831841294797726,-22.082198192886654,21.50188940751154,ols_twelve,7.863283760653718,6.666268016379595,1.0750944703755771,1998-09-09,2021-12-31,-22.082198192886647,7.105427357601002e-15,0.08414736973222832,89.7831326813505,47.78299039471747,137.56612307606798,42.00014228663302
o1,development,5865,6.712632171864286,8.28053326250171,0.8106521595972997,-27.013116428011763,21.40782029920491,ols_twelve,7.783023186824529,6.574615169162734,1.0703910149602456,1998-09-15,2021-12-31,-27.013116428011763,0.0,0.08276846906365627,89.89453739787034,47.862459183739375,137.75699658160968,42.03207821413095
o2,development,5860,6.534330250349736,8.318519452248378,0.7855160149422503,-32.48408303745496,21.414648210192816,ols_twelve,7.605062660859375,6.381425946518959,1.0707324105096407,1998-09-22,2021-12-31,-32.48408303745496,0.0,0.084928970240671,89.84667982149126,47.77113615985789,137.6178159813491,42.07554366163337
o0,development,5869,7.17009860534541,7.298831268210268,0.9823625648909644,-18.378329368986165,28.592423643088463,ridge,8.599719787499833,7.146088640150805,1.4296211821544231,1998-09-09,2021-12-31,-18.37832936898617,-3.552713678800501e-15,0.08531427340524798,84.91201182963147,53.44363476915059,138.35564659878204,31.468377060480872
o1,development,5865,8.413179770096491,7.621699081863198,1.1038457015597376,-17.440922066204227,28.770638910117402,ridge,9.85171171560236,8.45940983656086,1.43853194550587,1998-09-15,2021-12-31,-17.440922066204223,3.552713678800501e-15,0.10327631592582569,84.9085956351425,53.62921776492464,138.53781340006714,31.279377870217868
o2,development,5860,6.791090902829051,7.566978191226912,0.8974640511984799,-19.198933921084908,28.82164903813176,ridge,8.232173354735641,6.719639952597944,1.441082451906588,1998-09-22,2021-12-31,-19.198933921084905,3.552713678800501e-15,0.0967149436881889,85.19778160427737,53.406854577039766,138.60463618131712,31.790927027237597
o0,development,5869,7.105900467067667,8.339486439042492,0.8520789042596656,-22.365177853916812,19.736572951627565,ridge_twelve,8.092729114649046,6.989761962501562,0.9868286475813783,1998-09-09,2021-12-31,-22.365177853916805,7.105427357601002e-15,0.08376525603945313,90.87777643595626,46.76343776709619,137.64121420305247,44.114338668860064
o1,development,5865,7.024119737381655,8.432665836179018,0.8329655027056546,-25.707188672652592,19.700212977302385,ridge_twelve,8.009130386246776,6.893467127563024,0.9850106488651194,1998-09-15,2021-12-31,-25.707188672652592,0.0,0.08246838358868988,90.9058907746129,46.811344496158355,137.71723527077125,44.09454627845454
o2,development,5860,6.6001889699080305,8.466237055567252,0.7795894358483453,-32.019175561119326,19.683586453344866,ridge_twelve,7.584368292575274,6.438358450300097,0.9841793226672433,1998-09-22,2021-12-31,-32.019175561119326,0.0,0.0872899039217935,90.75735511542948,46.72682243956998,137.48417755499946,44.030532675859504
o0,later,1103,7.981777581441353,11.951497003168258,0.6678475156146079,-9.842515320036687,13.034167163397944,fixed,8.63348593961125,7.535636843386206,0.6517083581698971,2022-01-03,2026-05-27,-9.842515320036693,-5.329070518200751e-15,-0.009682313685144838,92.36007242846834,39.57174245082376,131.9318148792921,52.78832997764458
o1,later,1103,8.748143002471016,11.916560733745401,0.7341164282155641,-9.345829978296225,12.891201885925648,fixed,9.392703096767297,8.367261931650184,0.6445600942962825,2022-01-03,2026-05-27,-9.345829978296226,-1.7763568394002505e-15,-0.03255709958165216,91.96318583077058,39.531350325298504,131.4945361560691,52.431835505472066
o2,later,1103,6.575418352400041,11.879217144218874,0.5535228687691786,-10.848974225491444,13.229802908999643,fixed,7.236908497850024,6.042888021279058,0.6614901454499822,2022-01-03,2026-05-27,-10.848974225491448,-3.552713678800501e-15,-0.011880791575147574,91.80163464970035,39.222130850697454,131.02376550039781,52.5795037990029
o0,later,1103,6.18511164675007,9.249860119196718,0.6686708303743735,-9.34926929226026,26.167554552222658,ols,7.493489374361202,5.925472510525731,1.308377727611133,2022-01-03,2026-05-27,-9.349269292260265,-5.329070518200751e-15,0.07818939761871695,90.49896585230876,42.99089132914635,133.4898571814551,47.5080745231624
o1,later,1103,6.7873250507573974,9.314453481389027,0.7286874172831481,-8.180063115140776,25.43288589480714,ols,8.058969345497754,6.558827780959464,1.271644294740357,2022-01-03,2026-05-27,-8.18006311514078,-3.552713678800501e-15,0.03907318692056972,90.99322352461779,42.8982358979692,133.891459422587,48.094987626648596
o2,later,1103,6.129210224092662,8.98817036979273,0.6819196757430849,-7.937868480987496,26.198559460811126,ols,7.439138197133219,5.891624443581378,1.3099279730405562,2022-01-03,2026-05-27,-7.937868480987498,-1.7763568394002505e-15,0.0650267373842747,90.48372304976004,43.07147769474697,133.555200744507,47.41224535501307
