model,short_horizon_predictors,mean_absolute_weight_share,first_refit_share,last_refit_share,predictors
ols,25,0.2709972736804992,0.2881060871409645,0.28078958742761495,X_feature_market_cap_log_std21;X_feature_price_atr21;X_feature_price_atr5;X_feature_price_bb_pct10;X_feature_price_bb_pct21;X_feature_price_bb_pct5;X_feature_price_downside_vol10;X_feature_price_downside_vol21;X_feature_price_freq_loss_fl21;X_feature_price_lag1;X_feature_price_macd_10_21;X_feature_price_price_to_ma10;X_feature_price_price_to_ma21;X_feature_price_price_to_min10;X_feature_price_price_to_min21;X_feature_price_price_to_min5;X_feature_price_ret10_shift0;X_feature_price_ret21_shift0;X_feature_price_ret5_shift0;X_feature_price_upside_vol10;X_feature_price_upside_vol21;X_feature_price_vol10;X_feature_pv_illiquidity_mean21;X_feature_pv_pv_corr21;X_feature_short_interest_log_diff21
ridge,25,0.26938873213293985,0.28895810799758015,0.2808818675232123,X_feature_market_cap_log_std21;X_feature_price_atr21;X_feature_price_atr5;X_feature_price_bb_pct10;X_feature_price_bb_pct21;X_feature_price_bb_pct5;X_feature_price_downside_vol10;X_feature_price_downside_vol21;X_feature_price_freq_loss_fl21;X_feature_price_lag1;X_feature_price_macd_10_21;X_feature_price_price_to_ma10;X_feature_price_price_to_ma21;X_feature_price_price_to_min10;X_feature_price_price_to_min21;X_feature_price_price_to_min5;X_feature_price_ret10_shift0;X_feature_price_ret21_shift0;X_feature_price_ret5_shift0;X_feature_price_upside_vol10;X_feature_price_upside_vol21;X_feature_price_vol10;X_feature_pv_illiquidity_mean21;X_feature_pv_pv_corr21;X_feature_short_interest_log_diff21
