model,period,net_arithmetic_return_pct,net_volatility_pct,net_sharpe,net_drawdown_pct,market_beta,gross_exposure_pct,net_exposure_pct,annualized_traded_notional_from_costs,gross_arithmetic_return_pct,annual_cost_drag_pct,net_sharpe_min,net_sharpe_max,daily_observations,return_start,return_end,label
fixed,development,6.791920467808155,9.110102485122194,0.746039353036475,-26.363394269925603,0.06734443414569252,136.45965754652,44.05732015537266,14.41469900839109,7.512655418227709,0.7207349504195545,0.7068702434896814,0.805568174883915,5864.666666666667,1998-09-09,2021-12-31,Fixed score
ols,development,7.310550479774318,7.366156833897669,0.9925833657440345,-18.707575617866034,0.09136202548473933,138.76098663506903,30.09750903222233,28.963430452062813,8.758722002377459,1.4481715226031406,0.904976400945821,1.0485697454897198,5864.666666666667,1998-09-09,2021-12-31,OLS
ols_twelve,development,6.678383904164054,8.253163562864382,0.809336489779092,-27.19313255278446,0.08394826967885187,137.64697854634224,42.03592138746578,21.441452638969754,7.750456536112541,1.072072631948488,0.7855160149422503,0.831841294797726,5864.666666666667,1998-09-09,2021-12-31,OLS · 12
ridge,development,7.458123092756984,7.49583618043346,0.994557439216394,-18.339395118758432,0.0951018443397542,138.49936539338876,31.512893985978778,28.728237197112538,8.894534952612611,1.436411859855627,0.8974640511984799,1.1038457015597376,5864.666666666667,1998-09-09,2021-12-31,Ridge
ridge_twelve,development,6.910069724785784,8.412796443596255,0.8215446142712218,-26.69718069589624,0.08450784784997883,137.61420900960772,44.079805874391376,19.706790794091607,7.8954092644903655,0.9853395397045803,0.7795894358483453,0.8520789042596656,5864.666666666667,1998-09-09,2021-12-31,Ridge · 12
fixed,later,7.768446312104136,11.915758293710844,0.6518289375331169,-10.012439841274789,-0.01804006828064819,131.48337217858634,52.59988976070651,13.051723986107746,8.421032511409523,0.6525861993053873,0.5535228687691786,0.7341164282155641,1103.0,2022-01-03,2026-05-27,Fixed score
ols,later,6.367215640533376,9.184161323459492,0.6930926411335355,-8.489066962796182,0.06076310730785379,133.6455057828497,47.67176916827469,25.932999969280306,7.663865638997392,1.2966499984640154,0.6686708303743735,0.7286874172831481,1103.0,2022-01-03,2026-05-27,OLS
ols_twelve,later,7.355108431276297,10.891863965221276,0.6757513382598744,-9.948046194532175,0.004946276184827922,132.28899963756965,57.39382680373101,17.319985712775537,8.221107716915073,0.8659992856387769,0.5825110163564461,0.7807669949583884,1103.0,2022-01-03,2026-05-27,OLS · 12
ridge,later,6.444100154977629,9.377928118866562,0.6871257370516203,-8.611629454660415,0.06414350121611768,133.3365084262734,49.00990595830827,25.643111752201637,7.7262557425877105,1.2821555876100819,0.6317275032943731,0.7402026512053836,1103.0,2022-01-03,2026-05-27,Ridge
ridge_twelve,later,7.80789957924867,11.098794212602572,0.7039126332731297,-10.225058520329632,0.0006179439949347021,132.20779768026583,58.10955106116771,15.918297675456799,8.603814463021509,0.7959148837728399,0.6148932625163461,0.7684647353725321,1103.0,2022-01-03,2026-05-27,Ridge · 12
