model,period,ic_dates,ic_mean,ic_sd,ic_ir,ic_start,ic_end
fixed,development,5851,0.03674318073642915,0.1093446871583327,0.3360307820280695,1998-09-03,2021-12-31
ols,development,5851,0.04052708205715303,0.09649042419403714,0.4200114404684885,1998-09-03,2021-12-31
ridge,development,5851,0.04128982216635322,0.09854360610311211,0.41900051965978585,1998-09-03,2021-12-31
fixed,later,1083,0.04891166930085588,0.12421824178410115,0.39375592987274227,2022-01-03,2026-04-28
ols,later,1083,0.040424013503104046,0.12686830821684777,0.3186297198352318,2022-01-03,2026-04-28
ridge,later,1083,0.04115038817291696,0.1284289904071348,0.3204135455901776,2022-01-03,2026-04-28
