date,theme,ic
1998-06-25,Size,0.094599
1998-06-25,Liquidity & volume,-0.013375
1998-06-25,Market correlation,-0.038713
1998-06-25,Short positioning,0.034277
1998-07-02,Momentum & trend,0.133678
1998-07-02,Short-term reversal,-0.029928
1998-07-02,Volatility,-0.031195
1998-07-02,Size,0.081737
1998-07-02,Liquidity & volume,0.033857
1998-07-02,Market correlation,0.025202
1998-07-02,Short positioning,0.029578
1998-07-10,Momentum & trend,0.028518
1998-07-10,Short-term reversal,0.005308
1998-07-10,Volatility,-0.069412
1998-07-10,Size,0.002107
1998-07-10,Liquidity & volume,-0.016275
1998-07-10,Market correlation,-0.041644
1998-07-10,Short positioning,0.000775
1998-07-17,Momentum & trend,0.066949
1998-07-17,Short-term reversal,0.016555
1998-07-17,Volatility,-0.025570
1998-07-17,Size,0.022344
1998-07-17,Liquidity & volume,-0.051955
1998-07-17,Market correlation,-0.054063
1998-07-17,Short positioning,0.057454
1998-07-24,Momentum & trend,0.089524
1998-07-24,Short-term reversal,-0.006428
1998-07-24,Volatility,0.005615
1998-07-24,Size,0.074850
1998-07-24,Liquidity & volume,0.033482
1998-07-24,Market correlation,0.038741
1998-07-24,Short positioning,0.132462
1998-07-31,Momentum & trend,0.158391
1998-07-31,Short-term reversal,-0.036963
1998-07-31,Volatility,0.040378
1998-07-31,Size,0.148512
1998-07-31,Liquidity & volume,0.111626
1998-07-31,Market correlation,0.060648
1998-07-31,Short positioning,0.114972
1998-08-07,Momentum & trend,0.071998
1998-08-07,Short-term reversal,-0.046418
1998-08-07,Volatility,0.026636
1998-08-07,Size,0.100233
1998-08-07,Liquidity & volume,0.081451
1998-08-07,Market correlation,0.026546
1998-08-07,Short positioning,0.114126
1998-08-14,Momentum & trend,0.128315
1998-08-14,Short-term reversal,-0.001139
1998-08-14,Volatility,0.040294
1998-08-14,Size,0.156564
1998-08-14,Liquidity & volume,0.183128
1998-08-14,Market correlation,0.136441
1998-08-14,Short positioning,0.147801
1998-08-21,Momentum & trend,0.060733
1998-08-21,Short-term reversal,-0.012096
1998-08-21,Volatility,0.056375
1998-08-21,Size,0.092287
1998-08-21,Liquidity & volume,0.112614
1998-08-21,Market correlation,0.067437
1998-08-21,Short positioning,0.088933
1998-08-28,Momentum & trend,-0.006666
1998-08-28,Short-term reversal,0.045851
1998-08-28,Volatility,0.034028
1998-08-28,Size,0.007850
1998-08-28,Liquidity & volume,0.023940
1998-08-28,Market correlation,0.037588
1998-08-28,Short positioning,0.075069
1998-09-04,Momentum & trend,0.024812
1998-09-04,Short-term reversal,-0.093279
1998-09-04,Volatility,0.128263
1998-09-04,Size,0.160972
1998-09-04,Liquidity & volume,0.091065
1998-09-04,Market correlation,0.094538
1998-09-04,Short positioning,0.093443
1998-09-14,Momentum & trend,-0.026041
1998-09-14,Short-term reversal,-0.031569
1998-09-14,Volatility,0.069544
1998-09-14,Size,0.087639
1998-09-14,Liquidity & volume,0.093542
1998-09-14,Market correlation,0.097361
1998-09-14,Short positioning,0.097075
1998-09-21,Momentum & trend,-0.003636
1998-09-21,Short-term reversal,0.121241
1998-09-21,Volatility,0.032886
1998-09-21,Size,0.028766
1998-09-21,Liquidity & volume,0.170365
1998-09-21,Market correlation,0.183776
1998-09-21,Short positioning,0.111940
1998-09-28,Momentum & trend,-0.081975
1998-09-28,Short-term reversal,0.164621
1998-09-28,Volatility,-0.047171
1998-09-28,Size,-0.109674
1998-09-28,Liquidity & volume,0.086026
1998-09-28,Market correlation,0.049446
1998-09-28,Short positioning,0.054110
1998-10-05,Momentum & trend,-0.074328
1998-10-05,Short-term reversal,0.231795
1998-10-05,Volatility,-0.066773
1998-10-05,Size,-0.157530
1998-10-05,Liquidity & volume,0.060116
1998-10-05,Market correlation,0.087623
1998-10-05,Short positioning,0.026287
1998-10-12,Momentum & trend,-0.081913
1998-10-12,Short-term reversal,0.226800
1998-10-12,Volatility,-0.022379
1998-10-12,Size,-0.188600
1998-10-12,Liquidity & volume,-0.076137
1998-10-12,Market correlation,-0.033423
1998-10-12,Short positioning,-0.015042
1998-10-19,Momentum & trend,-0.069447
1998-10-19,Short-term reversal,0.059583
1998-10-19,Volatility,0.011666
1998-10-19,Size,-0.092635
1998-10-19,Liquidity & volume,-0.070558
1998-10-19,Market correlation,-0.030985
1998-10-19,Short positioning,0.045037
1998-10-26,Momentum & trend,0.083631
1998-10-26,Short-term reversal,0.109500
1998-10-26,Volatility,0.114295
1998-10-26,Size,0.078731
1998-10-26,Liquidity & volume,0.104236
1998-10-26,Market correlation,0.128573
1998-10-26,Short positioning,0.103778
1998-11-02,Momentum & trend,0.058821
1998-11-02,Short-term reversal,0.073141
1998-11-02,Volatility,0.073509
1998-11-02,Size,0.078996
1998-11-02,Liquidity & volume,0.106514
1998-11-02,Market correlation,0.124223
1998-11-02,Short positioning,0.129913
1998-11-09,Momentum & trend,0.186915
1998-11-09,Short-term reversal,0.072103
1998-11-09,Volatility,0.072873
1998-11-09,Size,0.184674
