X_feature_price_bb_pct5,X_feature_price_price_to_min5,X_feature_price_price_to_ma21,X_feature_price_bb_pct21,X_feature_price_price_to_ma10,X_feature_price_bb_pct10,X_feature_price_price_to_min21,X_feature_price_price_to_min10,X_feature_price_high_to_initial126_exclude21,X_feature_price_high_to_initial90_exclude10,X_feature_price_freq_loss_fl756,X_feature_price_freq_loss_fl252,X_feature_price_high_to_initial252_exclude21,X_feature_price_trend_streak200_504,X_feature_price_ret252_shift0,X_feature_price_macd_21_252,X_feature_price_trend_streak200_126,X_feature_price_trend_streak200_252,X_feature_price_freq_loss_fl63,X_feature_price_freq_loss_fl21,X_feature_price_price_to_min63,X_feature_price_macd_10_21,X_feature_price_sharpe_ratio_compound_r63_volatility63_rolling,X_feature_price_price_to_ma63,X_feature_price_bb_pct126,X_feature_price_price_to_min252,X_feature_price_ret90_shift0,X_feature_price_price_to_ma252,X_feature_price_sharpe_ratio_compound_r126_volatility126_rolling,X_feature_price_macd_21_126,X_feature_price_final_to_high90_exclude10,X_feature_price_price_to_max252,X_feature_price_final_to_high252_exclude21,X_feature_price_lag1,X_feature_price_ret21_shift0,X_feature_price_ret10_shift0,X_feature_price_ret5_shift0,X_feature_price_downside_vol10,X_feature_price_downside_vol21,X_feature_price_vol10,X_feature_price_upside_vol10,X_feature_price_upside_vol21,X_feature_price_upside_vol63,X_feature_price_atr5,X_feature_price_downside_vol126,X_feature_price_downside_vol63,X_feature_price_atr21,X_feature_price_atr126,X_feature_price_vol252,X_feature_market_cap_log_identity,X_feature_market_cap_log_std21,X_feature_market_cap_log_std126,X_feature_market_cap_log_std504,X_feature_market_cap_log_std252,X_feature_market_cap_log_diff_126,X_feature_market_cap_log_to_min126,X_feature_market_cap_log_to_max504,X_feature_market_cap_log_diff_504,X_feature_market_cap_log_to_min504,X_feature_pv_pv_corr21,X_feature_pv_pv_corr126,X_feature_pv_pv_corr63,X_feature_liquidity_turnover_level63,X_feature_volume_log_volume_ratio_max126,X_feature_volume_log_volume_ratio_max252,X_feature_pv_illiquidity_mean21,X_feature_volume_log_volume_std504,X_feature_volume_log_volume_std126,X_feature_volume_log_volume_std63,X_feature_market_corr504,X_feature_market_corr252,X_feature_short_interest_to_volume_log_ratio_std252,X_feature_short_interest_to_volume_log_ratio_std63,X_feature_short_interest_to_volume_log_ratio,X_feature_short_interest_to_volume_log_ratio_mean252,X_feature_short_interest_to_volume_log_ratio_mean63,X_feature_short_interest_log_diff21,X_feature_short_interest_log_diff252,X_feature_short_interest_log_diff63,X_feature_short_interest_log_diff126
-0.050578,0.023344,-0.076958,-0.089363,-0.057050,-0.066271,0.023661,0.027752,0.060052,-0.028524,1.000000,0.606618,0.158304,0.521131,0.297454,0.430500,0.314267,0.390154,0.317159,-0.186714,0.000682,0.153289,0.179139,-0.122342,0.189046,0.097762,0.168795,0.256627,0.247451,0.246197,0.262378,0.320286,0.332596,-0.025109,-0.085039,-0.064187,-0.049962,0.203093,0.231902,0.234772,0.189886,0.238927,0.286745,0.262935,0.281421,0.263114,0.296883,0.323346,0.327874,0.076986,0.197599,0.190353,0.093310,0.162323,0.193770,-0.029936,0.379858,0.384920,0.158993,0.042603,0.094499,0.070274,0.224916,0.022253,0.015883,0.021433,-0.036343,-0.000867,0.002260,0.053874,0.062523,-0.008112,0.008049,0.014429,0.008867,0.016015,0.004048,0.017119,0.006473,0.008763
-0.084114,-0.017071,-0.143758,-0.147429,-0.105148,-0.109556,-0.044354,-0.024926,0.237563,-0.172342,0.606618,1.000000,0.351593,0.387757,0.575758,0.498648,0.542774,0.530684,0.525948,-0.308594,-0.103602,0.257157,0.309688,-0.235700,0.326727,0.329619,0.330486,0.498240,0.436156,0.398463,0.350038,0.472700,0.475105,-0.044660,-0.161437,-0.118457,-0.089625,0.188063,0.207485,0.202474,0.154004,0.199750,0.244025,0.224980,0.247762,0.230648,0.252312,0.275135,0.277695,0.121031,0.173265,0.138446,0.056025,0.073228,0.379947,-0.169752,0.476608,0.353929,0.273965,0.020298,0.026802,0.030480,0.185226,0.032846,0.025493,0.069880,-0.016085,0.020634,0.026033,0.014588,0.047758,0.030625,0.032452,0.011942,-0.022439,0.005129,0.024294,0.067286,0.043304,0.063296
-0.003682,-0.068493,-0.011977,-0.002788,-0.010107,-0.004085,-0.095281,-0.087566,0.438310,-0.297740,0.158304,0.351593,1.000000,0.360241,0.640811,0.422194,0.496460,0.604377,0.058999,0.001229,-0.146112,0.044415,0.084460,-0.054133,0.078821,0.489696,0.156350,0.365972,0.231135,0.257184,-0.033573,0.088415,0.148025,-0.001581,-0.015482,-0.012735,-0.010563,-0.166151,-0.199239,-0.200944,-0.175000,-0.200437,-0.247253,-0.214258,-0.196430,-0.215064,-0.240760,-0.253532,-0.246746,0.043517,-0.161182,-0.256443,-0.407424,-0.396228,0.263394,-0.253851,0.219219,0.473741,0.571205,0.019547,-0.091182,-0.014617,-0.186753,-0.042524,-0.028737,0.055463,-0.098450,-0.056914,-0.042613,-0.032533,0.013619,-0.055359,-0.062821,0.076494,0.022516,0.080162,0.023862,0.101539,0.049611,0.086866
-0.020194,0.036154,-0.026024,-0.037835,-0.017861,-0.026841,0.050951,0.045187,0.147482,-0.057534,0.521131,0.387757,0.360241,1.000000,0.458712,0.691885,0.530635,0.738016,0.130893,-0.057455,0.038885,0.111133,0.131937,-0.066099,0.161569,0.165918,0.153092,0.323895,0.266747,0.360252,0.246152,0.374177,0.427093,-0.004761,-0.033005,-0.021583,-0.016969,0.156016,0.187506,0.184406,0.149835,0.189031,0.225391,0.216502,0.282098,0.237265,0.248993,0.282812,0.294194,0.235526,0.174376,0.206156,-0.000225,0.153875,0.233997,-0.023635,0.538964,0.703798,0.361590,0.055896,0.036716,0.063336,0.189268,0.064321,0.066039,0.183365,0.027095,0.079080,0.076244,0.161013,0.183346,0.066032,0.057572,0.091611,0.073346,0.098673,0.011123,0.082132,0.022253,0.042312
-0.098953,-0.067315,-0.226378,-0.203037,-0.158742,-0.141753,-0.147459,-0.099189,0.468362,-0.367997,0.297454,0.575758,0.640811,0.458712,1.000000,0.676238,0.787496,0.712456,0.329883,-0.200718,-0.269571,0.373064,0.452317,-0.390868,0.489660,0.666472,0.542872,0.833118,0.640575,0.591710,0.431018,0.651560,0.623222,-0.053054,-0.259194,-0.180430,-0.130345,0.158694,0.180242,0.100383,0.017672,0.026701,0.021958,0.118439,0.231220,0.212802,0.127023,0.122042,0.111766,0.220413,0.104682,0.040099,-0.104086,-0.082233,0.643186,-0.396539,0.652646,0.571576,0.571712,-0.085996,-0.250346,-0.164673,0.082970,0.035849,0.030664,0.169764,-0.023263,0.024364,0.034431,0.026845,0.076760,0.042967,0.039863,0.045407,-0.000032,0.039719,0.042301,0.123066,0.074947,0.113057
-0.031191,0.037552,-0.080875,-0.082559,-0.041760,-0.046640,0.025432,0.041013,0.327436,-0.202122,0.430500,0.498648,0.422194,0.691885,0.676238,1.000000,0.755075,0.771522,0.262082,-0.124985,-0.052423,0.278626,0.321402,-0.213890,0.378567,0.385404,0.368583,0.599818,0.529931,0.610378,0.439079,0.594089,0.625017,-0.011401,-0.114215,-0.056169,-0.031786,0.200428,0.249186,0.221787,0.170753,0.203561,0.224755,0.251624,0.372215,0.323141,0.288648,0.308602,0.307611,0.233281,0.219485,0.250570,0.061292,0.136433,0.481337,-0.172571,0.691892,0.625883,0.425424,0.000337,-0.137442,-0.056655,0.217945,0.068975,0.057632,0.170815,0.016894,0.062702,0.065911,0.094980,0.123182,0.076347,0.072654,0.042139,0.008973,0.032067,0.032793,0.108466,0.062015,0.082616
-0.028063,0.029037,-0.055679,-0.059900,-0.033274,-0.038016,0.034299,0.035625,0.515831,-0.297487,0.314267,0.542774,0.496460,0.530635,0.787496,0.755075,1.000000,0.792753,0.247442,-0.099350,-0.032813,0.233018,0.286077,-0.168908,0.351416,0.515865,0.388343,0.705406,0.608855,0.618446,0.397480,0.618306,0.685767,-0.011086,-0.076836,-0.039962,-0.026282,0.159829,0.195042,0.182111,0.144026,0.179610,0.199218,0.207932,0.350486,0.271524,0.239577,0.268959,0.248257,0.226142,0.191701,0.173334,0.009081,0.026322,0.561964,-0.209989,0.630944,0.476124,0.432424,0.022739,-0.204674,-0.045703,0.182370,0.086478,0.066345,0.173093,0.019838,0.064813,0.065588,0.064332,0.100829,0.081908,0.074619,0.042906,-0.012813,0.017899,0.053250,0.121966,0.098508,0.125985
-0.021428,0.032689,-0.034024,-0.042198,-0.021813,-0.028599,0.045199,0.040604,0.294733,-0.150762,0.390154,0.530684,0.604377,0.738016,0.712456,0.771522,0.792753,1.000000,0.173963,-0.069553,0.017269,0.151931,0.185587,-0.100371,0.228075,0.342178,0.239912,0.504407,0.392225,0.508554,0.296286,0.489539,0.560809,-0.007620,-0.045874,-0.026673,-0.019207,0.148281,0.178243,0.173216,0.139673,0.176474,0.206849,0.202144,0.292089,0.235063,0.232579,0.266234,0.278721,0.233218,0.175827,0.197487,-0.034186,0.086145,0.358592,-0.086301,0.615074,0.598308,0.452192,0.044912,-0.051518,0.024122,0.176231,0.076481,0.083475,0.182368,0.013971,0.070168,0.071030,0.093373,0.143758,0.080317,0.062115,0.078460,0.013557,0.069666,0.033095,0.148640,0.063489,0.102598
-0.153636,-0.093706,-0.288917,-0.279847,-0.205487,-0.203709,-0.187934,-0.125357,0.098311,-0.196363,0.317159,0.525948,0.058999,0.130893,0.329883,0.262082,0.247442,0.173963,1.000000,-0.576652,-0.375248,0.498418,0.626356,-0.499883,0.546541,0.332072,0.502066,0.475156,0.470670,0.333207,0.476773,0.470598,0.386531,-0.085888,-0.329920,-0.232547,-0.172138,0.186407,0.199781,0.170209,0.104481,0.140088,0.148307,0.179852,0.184034,0.212906,0.198794,0.175758,0.157892,0.087847,0.125113,0.055987,0.069538,0.066046,0.413002,-0.362312,0.391292,0.190406,0.197477,-0.070057,-0.074613,-0.123394,0.121125,0.000256,-0.011877,0.054085,-0.002410,0.011497,0.024931,-0.002160,0.001702,0.020827,0.039793,-0.035130,-0.014079,-0.021379,-0.012268,0.008287,-0.006947,0.003096
0.253443,0.204638,0.524095,0.493196,0.362168,0.348009,0.428575,0.284939,0.000921,0.030365,-0.186714,-0.308594,0.001229,-0.057455,-0.200718,-0.124985,-0.099350,-0.069553,-0.576652,1.000000,0.388825,-0.380846,-0.379168,0.505270,-0.468384,-0.239039,-0.308366,-0.313992,-0.287263,-0.190541,-0.292122,-0.359769,-0.077212,0.151052,0.607901,0.419730,0.302925,-0.194654,-0.193869,-0.123591,-0.021613,-0.030949,-0.071490,-0.127833,-0.109533,-0.126511,-0.125972,-0.098610,-0.089266,-0.055201,-0.041337,-0.050011,-0.046155,-0.047867,-0.250385,0.294095,-0.281428,-0.117600,-0.136093,0.173799,0.051070,0.081460,-0.064605,0.007981,0.014599,-0.027164,0.001309,-0.005224,-0.010472,0.002336,0.000476,-0.010768,-0.023031,0.014353,0.004801,0.004000,-0.017145,-0.017567,-0.016845,-0.018455
0.267539,0.358563,0.605574,0.526449,0.455534,0.384105,0.683419,0.499053,-0.181121,0.296876,0.000682,-0.103602,-0.146112,0.038885,-0.269571,-0.052423,-0.032813,0.017269,-0.375248,0.388825,1.000000,-0.599593,-0.655763,0.785408,-0.651010,-0.609832,-0.530732,-0.468784,-0.396331,-0.190905,-0.246989,-0.290365,-0.042639,0.168942,0.639226,0.500700,0.382383,-0.024093,0.003387,0.218489,0.389575,0.445781,0.492295,0.218733,0.209138,0.108197,0.264176,0.312302,0.317052,-0.000118,0.242863,0.363770,0.264918,0.298577,-0.405901,0.775757,-0.203079,-0.175424,-0.425159,0.362997,0.262727,0.396848,0.229722,0.073371,0.066237,0.004982,0.051788,0.048059,0.040682,0.023661,0.020961,0.068487,0.064927,0.006720,-0.028571,-0.038608,0.028257,0.027433,0.026525,0.023319
-0.075451,-0.028679,-0.371567,-0.347766,-0.179397,-0.159812,-0.267341,-0.094572,0.071948,-0.203983,0.153289,0.257157,0.044415,0.111133,0.373064,0.278626,0.233018,0.151931,0.498418,-0.380846,-0.599593,1.000000,0.771598,-0.766708,0.771518,0.443905,0.629964,0.583021,0.546138,0.449742,0.647479,0.578579,0.404784,-0.043512,-0.530700,-0.261651,-0.130244,0.239719,0.325120,0.160357,0.032812,-0.014452,-0.031031,0.168732,0.219311,0.321198,0.179326,0.121562,0.103934,0.128780,0.141971,0.031478,0.041782,0.038949,0.493211,-0.526792,0.466112,0.221637,0.269982,-0.300828,-0.260393,-0.391335,0.095728,-0.004429,-0.023598,0.087942,0.018781,0.033356,0.049996,0.021399,0.024955,0.030997,0.071680,-0.041675,0.002134,-0.012560,-0.010117,0.014368,-0.000495,0.006687
-0.182546,-0.136071,-0.436575,-0.405679,-0.294875,-0.271670,-0.319619,-0.202483,0.144864,-0.314108,0.179139,0.309688,0.084460,0.131937,0.452317,0.321402,0.286077,0.185587,0.626356,-0.379168,-0.655763,0.771598,1.000000,-0.795416,0.845992,0.532727,0.768536,0.694844,0.675740,0.453425,0.665656,0.648612,0.485445,-0.102708,-0.508247,-0.342630,-0.241209,0.271137,0.323378,0.149491,-0.010397,-0.015527,-0.075738,0.165078,0.251481,0.392822,0.179722,0.128095,0.104882,0.149722,0.121969,-0.006635,0.029760,0.022573,0.605890,-0.615983,0.528578,0.269450,0.335515,-0.271640,-0.317545,-0.488763,0.098052,0.003736,-0.017389,0.103141,0.013568,0.029156,0.051501,0.016947,0.018987,0.028552,0.073051,-0.042419,-0.000791,-0.017324,-0.008758,0.008370,-0.012689,-0.001733
0.285061,0.268894,0.717706,0.623656,0.502850,0.428360,0.573841,0.393444,-0.076106,0.182626,-0.122342,-0.235700,-0.054133,-0.066099,-0.390868,-0.213890,-0.168908,-0.100371,-0.499883,0.505270,0.785408,-0.766708,-0.795416,1.000000,-0.846223,-0.524915,-0.679667,-0.636557,-0.545160,-0.332754,-0.540465,-0.600805,-0.285548,0.175080,0.790551,0.576363,0.413299,-0.317348,-0.343605,-0.088130,0.147830,0.164220,0.137703,-0.104675,-0.159691,-0.269327,-0.099418,-0.046163,-0.032961,-0.123757,-0.033731,0.020426,0.003043,0.005294,-0.533154,0.636610,-0.469751,-0.232859,-0.330520,0.418934,0.290407,0.435426,-0.038030,0.007225,0.022298,-0.072039,-0.000476,-0.011844,-0.027505,-0.006968,-0.011879,-0.011241,-0.046875,0.028312,-0.003186,0.002134,0.011224,-0.013249,0.000781,-0.008499
-0.267258,-0.215066,-0.595601,-0.565922,-0.427298,-0.395433,-0.451708,-0.312938,0.155329,-0.336073,0.189046,0.326727,0.078821,0.161569,0.489660,0.378567,0.351416,0.228075,0.546541,-0.468384,-0.651010,0.771518,0.845992,-0.846223,1.000000,0.562411,0.799636,0.751346,0.731308,0.502161,0.668818,0.737933,0.469301,-0.151113,-0.647987,-0.483236,-0.352969,0.347374,0.385590,0.162081,-0.054712,-0.051053,-0.030890,0.183882,0.290300,0.371346,0.194971,0.152314,0.129463,0.163553,0.107785,0.065460,0.045390,0.049576,0.670809,-0.631117,0.592663,0.290120,0.349446,-0.347380,-0.349264,-0.424880,0.116108,0.022879,-0.005782,0.106178,0.020620,0.039392,0.050475,0.023536,0.028134,0.042111,0.079452,-0.030738,-0.000354,-0.018393,0.015394,0.027300,0.014399,0.019211
-0.138211,-0.214071,-0.342017,-0.283681,-0.244911,-0.200170,-0.398453,-0.295684,0.564059,-0.546217,0.097762,0.329619,0.489696,0.165918,0.666472,0.385404,0.515865,0.342178,0.332072,-0.239039,-0.609832,0.443905,0.532727,-0.524915,0.562411,1.000000,0.616328,0.734977,0.632172,0.464742,0.275160,0.378448,0.284916,-0.086961,-0.379193,-0.276667,-0.202784,-0.062814,-0.084469,-0.203842,-0.280415,-0.324841,-0.384672,-0.212503,-0.142602,-0.108992,-0.246277,-0.294652,-0.332472,0.054946,-0.181792,-0.339418,-0.410883,-0.499129,0.657194,-0.772964,0.340750,0.373706,0.713737,-0.195015,-0.365162,-0.301502,-0.195234,-0.046199,-0.068507,0.043815,-0.079130,-0.048937,-0.031802,-0.021667,0.001128,-0.076244,-0.036300,0.028083,0.026285,0.037409,0.032338,0.045571,0.050591,0.063002
