model,period,daily_observations,net_arithmetic_return_pct,net_volatility_pct,net_sharpe,runtime_drawdown_pct,annualized_traded_notional_from_costs,gross_arithmetic_return_pct,net_geometric_return_pct,annual_cost_drag_pct,net_drawdown_pct,drawdown_definition_difference_pp,return_start,return_end
fixed,development,5864.666666666667,6.811191846575223,9.111874170021578,0.7479916629593197,-26.31994806339901,14.43272913393004,7.532828303271725,6.603278081411752,0.7216364566965021,-26.31994806339901,0.0,1998-09-09,2021-12-31
ols,development,5864.666666666667,7.143660141447015,7.137625669440769,1.000986623934214,-18.307311773117775,29.324710416819624,8.609895662287995,7.1327881748940145,1.4662355208409812,-18.30731177311777,2.3684757858670005e-15,1998-09-09,2021-12-31
ridge,development,5864.666666666667,7.398206822075164,7.359671830863824,1.0050501315118365,-18.45854752170411,28.993404609261272,8.847877052538228,7.387665355466236,1.4496702304630638,-18.45854752170411,2.3684757858670005e-15,1998-09-09,2021-12-31
fixed,later,1103.0,7.759939385467863,11.91693954316842,0.6510543391191642,-10.034073395593909,13.05571239444192,8.41272500518996,7.305604292950707,0.6527856197220961,-10.034073395593913,-2.960594732333751e-15,2022-01-03,2026-05-27
ols,later,1103.0,7.1720974947894645,8.668197680445365,0.8267731927824693,-7.905766027793561,26.760418889401436,8.510118439259537,7.038676253382199,1.338020944470072,-7.90576602779356,1.7763568394002505e-15,2022-01-03,2026-05-27
ridge,later,1103.0,7.080682369110626,8.983692469404398,0.7873910959522806,-8.27830063285583,26.269402504221645,8.394152494321707,6.908318527746048,1.3134701252110823,-8.27830063285583,5.921189464667501e-16,2022-01-03,2026-05-27
