comparison_to_ridge,period,dates,score_rank_correlation,candidate_replacements_of_150
fixed,development,5873,0.43400068953662563,112.55116635450366
ols,development,5873,0.9911650213516491,14.19478971564788
fixed,later,1103,0.619021652742705,99.32910244786945
ols,later,1103,0.991208727048509,14.591115140525838
