model,period,ic_dates,ic_mean,ic_sd,ic_ir,ic_start,ic_end
fixed,development,5853,0.03672267106173022,0.10930515859990654,0.3359646656398668,1998-09-01,2021-12-31
ols,development,5853,0.046387948618073764,0.08136151024738093,0.5701461105752644,1998-09-01,2021-12-31
ridge,development,5853,0.04724674462530378,0.0835368305268025,0.5655798086587069,1998-09-01,2021-12-31
fixed,later,1083,0.04900194878207101,0.12427306616653107,0.39430868082393944,2022-01-03,2026-04-28
ols,later,1083,0.0434811010889517,0.10424177810304268,0.41711779941023996,2022-01-03,2026-04-28
ridge,later,1083,0.04347577754575193,0.10867569465541688,0.4000506063807792,2022-01-03,2026-04-28
