schedule,period,daily_observations,net_arithmetic_return_pct,net_volatility_pct,net_sharpe,runtime_drawdown_pct,annualized_traded_notional_from_costs,model,gross_arithmetic_return_pct,net_geometric_return_pct,annual_cost_drag_pct,return_start,return_end,net_drawdown_pct,drawdown_definition_difference_pp
o0,development,5869,7.193004845488783,8.949090182105909,0.8037693999186091,-22.010629722083213,14.424539326410576,fixed,7.914231811809312,7.026858498448552,0.7212269663205287,1998-09-09,2021-12-31,-22.01062972208322,-7.105427357601002e-15
o1,development,5865,6.532740673491741,9.16834091069675,0.7125324785719911,-27.44248230459575,14.396980250116117,fixed,7.252589685997549,6.300981245070836,0.7198490125058059,1998-09-15,2021-12-31,-27.44248230459575,0.0
o2,development,5860,6.7078300207451464,9.21819141726207,0.727673110387359,-29.506732163518063,14.47666782526343,fixed,7.431663412008318,6.481994500715871,0.7238333912631716,1998-09-22,2021-12-31,-29.506732163518056,7.105427357601002e-15
o0,development,5869,6.856674712555268,6.979408257221624,0.9824149068025411,-19.468442496201664,29.29634734673827,ols,8.321492079892181,6.835439804800125,1.4648173673369136,1998-09-09,2021-12-31,-19.468442496201664,0.0
o1,development,5865,8.085132186308307,7.184453404521678,1.1253649694797618,-17.428093226849885,29.36637188631415,ols,9.553450780624017,8.13966280732894,1.4683185943157075,1998-09-15,2021-12-31,-17.42809322684988,3.552713678800501e-15
o2,development,5860,6.489173525477467,7.249015346579007,0.8951799955203392,-18.025399596301774,29.31141201740645,ols,7.954744126347789,6.42326191255298,1.4655706008703224,1998-09-22,2021-12-31,-18.02539959630177,3.552713678800501e-15
o0,development,5869,7.24053526809291,7.170510078946098,1.0097657193666625,-18.592504320129326,28.957528902086263,ridge,8.688411713197226,7.231650243699894,1.4478764451043131,1998-09-09,2021-12-31,-18.592504320129322,3.552713678800501e-15
o1,development,5865,8.191490222757565,7.4838685354045404,1.094552928609772,-17.539511626992876,29.010418958533194,ridge,9.642011170684224,8.23067185674564,1.4505209479266596,1998-09-15,2021-12-31,-17.539511626992876,0.0
o2,development,5860,6.762594975375015,7.424636878240831,0.9108317465590751,-19.24362661799013,29.012265967164357,ridge,8.213208273733235,6.700673965953174,1.4506132983582178,1998-09-22,2021-12-31,-19.243626617990127,3.552713678800501e-15
o0,later,1103,7.961542779113398,11.953852912093094,0.666023150666269,-9.842515320036716,13.027816466381509,fixed,8.612933602432474,7.513581983009177,0.6513908233190755,2022-01-03,2026-05-27,-9.842515320036716,0.0
o1,later,1103,8.697062783909224,11.917412321573975,0.7297777864213876,-9.410730641253547,12.909680334308542,fixed,9.342546800624651,8.311826423672365,0.6454840167154271,2022-01-03,2026-05-27,-9.41073064125355,-3.552713678800501e-15
o2,later,1103,6.621212593380968,11.879553395838192,0.5573620802698359,-10.848974225491466,13.229640382635715,fixed,7.282694612512753,6.091404472170581,0.6614820191317858,2022-01-03,2026-05-27,-10.848974225491471,-5.329070518200751e-15
o0,later,1103,6.324136413847318,8.714211633681392,0.7257267415223004,-8.075799497784407,26.955259139733627,ols,7.671899370834,6.123885661763029,1.3477629569866814,2022-01-03,2026-05-27,-8.07579949778441,-1.7763568394002505e-15
o1,later,1103,8.791579737119916,8.735686667730928,1.0063982456691647,-8.311903069879847,26.54561097765435,ols,10.118860286002635,8.772380548446934,1.3272805488827175,2022-01-03,2026-05-27,-8.311903069879845,1.7763568394002505e-15
o2,later,1103,6.40057633340116,8.554694739923772,0.7481945911559427,-7.329595515716431,26.780386550816335,ols,7.73959566094198,6.219762549936636,1.3390193275408169,2022-01-03,2026-05-27,-7.329595515716425,5.329070518200751e-15
o0,later,1103,6.557617293711326,9.008271777914931,0.7279550900971111,-8.439575485534915,26.500414346763836,ridge,7.8826380110495196,6.3442643088214234,1.3250207173381918,2022-01-03,2026-05-27,-8.439575485534911,3.552713678800501e-15
o1,later,1103,8.329491877939741,9.088079590349173,0.9165293718141518,-8.662488343399888,25.98373164122886,ridge,9.628678460001183,8.237086456127729,1.299186582061443,2022-01-03,2026-05-27,-8.662488343399888,0.0
o2,later,1103,6.354937935680809,8.854726039949092,0.7176888259455789,-7.732838069632685,26.324061524672235,ridge,7.67114101191442,6.143604818288995,1.3162030762336119,2022-01-03,2026-05-27,-7.732838069632686,-1.7763568394002505e-15
