model,period,ic_dates,ic_mean,ic_sd,ic_ir,ic_start,ic_end
fixed,development,5853,0.03672267106173022,0.10930515859990654,0.3359646656398668,1998-09-01,2021-12-31
ols,development,5853,0.04080085679704296,0.09672031268478919,0.4218437230451546,1998-09-01,2021-12-31
ridge,development,5853,0.041414271267634084,0.09855604126203461,0.42021037713481635,1998-09-01,2021-12-31
fixed,later,1083,0.04900194878207101,0.12427306616653107,0.39430868082393944,2022-01-03,2026-04-28
ols,later,1083,0.04030027362253686,0.12663493627582556,0.318239774960349,2022-01-03,2026-04-28
ridge,later,1083,0.04109101487261672,0.12814638740796178,0.32065683398316164,2022-01-03,2026-04-28
