model,period,observations,market_beta,gross_market_beta,daily_intercept,market_r_squared,net_volatility_pct,residual_volatility_pct,market_volatility_pct
fixed,development,5864.666666666667,0.06731341898595268,0.06736376487043202,0.0002466720730917021,0.021219126280281997,9.111874170021578,9.014714157004322,19.703191368335116
fixed,later,1103.0,-0.018032452697368417,-0.018032737413502052,0.0003161605192209625,0.0009533839706234634,11.91693954316842,11.911256599603847,17.77614418767031
ols,development,5864.666666666667,0.08082764067795302,0.08091377352367592,0.0002551270839587476,0.04988902238385425,7.137625669440769,6.956903692457911,19.703191368335116
ols,later,1103.0,0.06928884036709933,0.06928829388434089,0.0002529974295022881,0.020954815550752737,8.668197680445363,8.576963987332777,17.77614418767031
ridge,development,5864.666666666667,0.08650979697983002,0.08660263565403108,0.0002632348404142629,0.05372240173896303,7.359671830863824,7.158804421459706,19.703191368335116
ridge,later,1103.0,0.07457305671468666,0.07456220299005784,0.0002469591822228944,0.02266585620148846,8.983692469404398,8.881511173065965,17.77614418767031
