model,period,schedule,observations,start,end,market_beta,gross_market_beta,daily_intercept,market_r_squared,net_volatility_pct,residual_volatility_pct,market_volatility_pct
fixed,development,o0,5869,1998-09-09,2021-12-31,0.06785035698636047,0.0678303838453396,0.0002616067851571314,0.022340759342285854,8.949090182105909,8.848560799901913,19.714043601958224
fixed,later,o0,1103,2022-01-03,2026-05-27,-0.009753543989437717,-0.009730614185909852,0.000320383810364128,0.0002103701939133451,11.953852912093092,11.95259547878043,17.77614418767031
fixed,development,o1,5865,1998-09-15,2021-12-31,0.06447225147040547,0.06452946873250102,0.00023665046206305208,0.019186411888173383,9.16834091069675,9.079961152431403,19.697667334397327
fixed,later,o1,1103,2022-01-03,2026-05-27,-0.03234191761182866,-0.03233651115970042,0.00035987594284741554,0.0023272483477793093,11.917412321573975,11.903536854889762,17.77614418767031
fixed,development,o2,5860,1998-09-22,2021-12-31,0.0696176485010921,0.06973144203345545,0.00024175897205492279,0.022130207610386754,9.21819141726207,9.115620518679654,19.697863168649793
fixed,later,o2,1103,2022-01-03,2026-05-27,-0.012001896490838871,-0.012031086894895883,0.000268221804451344,0.00032253337017773553,11.879553395838194,11.877637465141355,17.77614418767031
ols,development,o0,5869,1998-09-09,2021-12-31,0.0716573132648718,0.07169173240347337,0.00024692329946903986,0.04096710366895784,6.979408257221624,6.834950208098389,19.714043601958224
ols,later,o0,1103,2022-01-03,2026-05-27,0.08153181243285497,0.08159595532345348,0.00021376292845685235,0.02766133370211621,8.71421163368139,8.592843085975375,17.77614418767031
ols,development,o1,5865,1998-09-15,2021-12-31,0.08505146816716026,0.08512242241522994,0.0002910441930243482,0.054375812814392965,7.184453404521678,6.986393104400817,19.697667334397327
ols,later,o1,1103,2022-01-03,2026-05-27,0.051319815153847224,0.051323157467738516,0.0003254600788123497,0.01090564104200653,8.735686667730928,8.687921952996334,17.77614418767031
ols,development,o2,5860,1998-09-22,2021-12-31,0.08577414060182699,0.08592716575232444,0.0002274137593828549,0.054324150668211946,7.249015346579007,7.049367764874527,19.697863168649793
ols,later,o2,1103,2022-01-03,2026-05-27,0.07501489351459577,0.07494576886183067,0.00021976928123766215,0.02429747190813547,8.554694739923772,8.450126923026621,17.77614418767031
ridge,development,o0,5869,1998-09-09,2021-12-31,0.07710818018820335,0.07714655987521536,0.0002602414468655489,0.04494198303557562,7.170510078946098,7.007529389115678,19.714043601958224
ridge,later,o0,1103,2022-01-03,2026-05-27,0.08566116414952897,0.08571321135196663,0.00022114422980420474,0.028573281018407504,9.008271777914931,8.878641133315943,17.77614418767031
ridge,development,o1,5865,1998-09-15,2021-12-31,0.09018047188179566,0.0902656620344194,0.0002934680083741792,0.056338114001708295,7.4838685354045404,7.269999100856553,19.697667334397327
ridge,later,o1,1103,2022-01-03,2026-05-27,0.054807092399836936,0.054797439405191536,0.00030553236086085933,0.011492232679390701,9.088079590349173,9.035707524922827,17.77614418767031
ridge,development,o2,5860,1998-09-22,2021-12-31,0.09224073886949107,0.09239568505245845,0.0002359950660030607,0.059887108179605186,7.424636878240831,7.198884774406886,19.697863168649793
ridge,later,o2,1103,2022-01-03,2026-05-27,0.08325091359469404,0.08317595821301535,0.00021420095600361915,0.02793205490666717,8.854726039949092,8.730184860959124,17.77614418767031
