model,fold_id,adjacent_cosine,unit_vector_movement
ols,1,0.8292600374822234,0.5843628368022329
ols,2,0.8689850743044608,0.5118885146114128
ols,3,0.9361090858178053,0.35746584223445665
ols,4,0.9531987701866164,0.30594519055995484
ols,5,0.9326271001283929,0.36707737568966853
ols,6,0.976924231568633,0.21482908756202937
ols,7,0.9758959114222197,0.21956360617270024
ols,8,0.9721809789089539,0.23587717605163097
ols,9,0.9760029554712499,0.21907553276781108
ols,10,0.9618012703444855,0.2764009032384466
ols,11,0.9836426965658798,0.18087179677395912
ridge,1,0.8095365053196033,0.6171928299654766
ridge,2,0.8738885309564242,0.5022180184811692
ridge,3,0.9300308345450612,0.3740833208121925
ridge,4,0.9598025803905618,0.2835398370932674
ridge,5,0.9235184681223688,0.39110492678469616
ridge,6,0.9756623134070018,0.22062496047817542
ridge,7,0.9835046807391561,0.18163325279719028
ridge,8,0.9787183120472035,0.20630893316963544
ridge,9,0.9776534199401578,0.21140756873793412
ridge,10,0.9646089108125124,0.2660492029211419
ridge,11,0.986470563921602,0.16449581197342306
