schedule,period,daily_observations,net_arithmetic_return_pct,net_volatility_pct,net_sharpe,runtime_drawdown_pct,annualized_traded_notional_from_costs,model,gross_arithmetic_return_pct,net_geometric_return_pct,annual_cost_drag_pct,return_start,return_end,net_drawdown_pct,drawdown_definition_difference_pp
o0,development,5869,7.1930048446087,8.949090182185572,0.8037693998131109,-22.010629727874385,14.424539326410576,fixed,7.9142318109292304,7.026858497499133,0.7212269663205287,1998-09-09,2021-12-31,-22.010629727874388,-3.552713678800501e-15
o1,development,5865,6.532740672981177,9.168340910729276,0.7125324785137755,-27.442482310736686,14.396980250116117,fixed,7.252589685486985,6.300981244525117,0.7198490125058059,1998-09-15,2021-12-31,-27.442482310736683,3.552713678800501e-15
o2,development,5860,6.707830020769088,9.218191417327935,0.7276731103847568,-29.5067321658332,14.47666782526343,fixed,7.4316634120322576,6.481994500734944,0.7238333912631716,1998-09-22,2021-12-31,-29.506732165833192,7.105427357601002e-15
o0,development,5869,6.6860877965898275,8.193178673200142,0.8160554118586473,-21.06335978983167,21.34595409785103,ols,7.753385501482381,6.554595723857437,1.0672977048925516,1998-09-09,2021-12-31,-21.063359789831672,-3.552713678800501e-15
o1,development,5865,6.751134355749072,8.289390382434632,0.8144307414999837,-26.695102084712875,21.310684719603987,ols,7.816668591729272,6.614947430092832,1.0655342359801994,1998-09-15,2021-12-31,-26.695102084712875,0.0
o2,development,5860,6.534359010723375,8.325294350354572,0.7848802379515962,-32.122944424746144,21.265772028280992,ols,7.597647612137422,6.38093454107278,1.0632886014140495,1998-09-22,2021-12-31,-32.12294442474614,7.105427357601002e-15
o0,development,5869,7.1699804700453535,8.338602872560365,0.8598539323223356,-22.795378825389946,19.685929530531656,ridge,8.154276946571935,7.058372319432449,0.9842964765265827,1998-09-09,2021-12-31,-22.795378825389946,0.0
o1,development,5865,7.044704928756404,8.427490564967115,0.8359196458838033,-25.768449013034118,19.648101399507162,ridge,8.027109998731763,6.915916307216485,0.982405069975358,1998-09-15,2021-12-31,-25.76844901303412,-3.552713678800501e-15
o2,development,5860,6.696082291224329,8.466876918041104,0.7908562219625999,-31.653617511498826,19.541525702167885,ridge,7.673158576332723,6.540438786778902,0.9770762851083942,1998-09-22,2021-12-31,-31.653617511498823,3.552713678800501e-15
o0,later,1103,7.961542778075181,11.953852911770692,0.66602315059738,-9.842515320036755,13.027816466381509,fixed,8.612933601394259,7.513581981934125,0.6513908233190755,2022-01-03,2026-05-27,-9.84251532003676,-5.329070518200751e-15
o1,later,1103,8.697062784537819,11.91741232118753,0.7297777864977979,-9.410730641253547,12.909680334308542,fixed,9.342546801253246,8.311826424402135,0.6454840167154271,2022-01-03,2026-05-27,-9.41073064125355,-3.552713678800501e-15
o2,later,1103,6.621212591856869,11.87955339548601,0.5573620801580635,-10.848974225491508,13.229640382635715,fixed,7.282694610988655,6.0914044705978165,0.6614820191317858,2022-01-03,2026-05-27,-10.848974225491503,5.329070518200751e-15
o0,later,1103,6.452491172537418,10.914741422779741,0.5911721517351451,-9.86294764618451,17.52964822741203,ols,7.328973583908022,6.03052577253973,0.8764824113706015,2022-01-03,2026-05-27,-9.862947646184505,5.329070518200751e-15
o1,later,1103,7.066067779697609,10.963445411727706,0.6445116032719939,-10.464447694095854,17.027185458665716,ols,7.917427052630893,6.6773362533183,0.8513592729332858,2022-01-03,2026-05-27,-10.464447694095858,-3.552713678800501e-15
o2,later,1103,8.322052217535154,10.783033130784665,0.7717728506069769,-10.233403974130743,17.53728187769185,ols,9.198916311419747,8.046579741502914,0.8768640938845926,2022-01-03,2026-05-27,-10.23340397413074,3.552713678800501e-15
o0,later,1103,6.9624252238417315,11.175947535918125,0.6229829910587312,-10.001146366103805,16.051252166780035,ridge,7.764987832180734,6.541669606851008,0.8025626083390018,2022-01-03,2026-05-27,-10.001146366103807,-1.7763568394002505e-15
o1,later,1103,7.935441903266703,11.096558288179796,0.7151264110169766,-10.109930846294079,15.8911098881068,ridge,8.729997397672042,7.592672183158555,0.79455549440534,2022-01-03,2026-05-27,-10.10993084629408,-1.7763568394002505e-15
o2,later,1103,8.255455671654795,10.944924176373426,0.7542725320542347,-10.56963503530083,16.062887823511694,ridge,9.05860006283038,7.9555638868817,0.8031443911755847,2022-01-03,2026-05-27,-10.569635035300829,1.7763568394002505e-15
